Export of Imageset multipleballs (ball annotations in bounding boxes)
[team|labvision1819/multipleballs]
[set|multipleballs]
[format: "label::annotation_type|filename|img_width|img_height|x1|y1|x2|y2|center_x|center_y|width|height"]
label::ball|frame0177.jpg|640|480|348|139|364|159|356.0|149.0|16|20
label::ball|frame0176.jpg|640|480|347|135|362|152|354.5|143.5|15|17
label::ball|frame0176.jpg|640|480|1|434|31|479|16.0|456.5|30|45
label::ball|frame0175.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0175.jpg|640|480|348|132|365|152|356.5|142.0|17|20
label::ball|frame0174.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0174.jpg|640|480|348|128|365|147|356.5|137.5|17|19
label::ball|frame0173.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0173.jpg|640|480|353|118|371|137|362.0|127.5|18|19
label::ball|frame0172.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0172.jpg|640|480|359|109|376|129|367.5|119.0|17|20
label::ball|frame0171.jpg|640|480|361|105|379|124|370.0|114.5|18|19
label::ball|frame0171.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0170.jpg|640|480|364|105|382|124|373.0|114.5|18|19
label::ball|frame0170.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0169.jpg|640|480|367|105|384|124|375.5|114.5|17|19
label::ball|frame0169.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0168.jpg|640|480|367|105|384|124|375.5|114.5|17|19
label::ball|frame0168.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0167.jpg|640|480|367|105|384|124|375.5|114.5|17|19
label::ball|frame0167.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0166.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0165.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0164.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0163.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0162.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0161.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0160.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0159.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0158.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0157.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0156.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0155.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0154.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0153.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0152.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0151.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0150.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0149.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0148.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0147.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0146.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0145.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0144.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0143.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0142.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0141.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0140.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0139.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0138.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0137.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0136.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0135.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0134.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0133.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0132.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0131.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0130.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0129.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0128.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0127.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0126.jpg|640|480|2|429|31|475|16.5|452.0|29|46
label::ball|frame0125.jpg|640|480|2|429|31|475|16.5|452.0|29|46
ball|frame0120.jpg|not_in_image
ball|frame0119.jpg|not_in_image
ball|frame0118.jpg|not_in_image
ball|frame0115.jpg|not_in_image
label::ball|frame0113.jpg|640|480|0|434|33|480|16.5|457.0|33|46
label::ball|frame0111.jpg|640|480|0|434|45|480|22.5|457.0|45|46
label::ball|frame0110.jpg|640|480|29|424|80|470|54.5|447.0|51|46
label::ball|frame0109.jpg|640|480|38|417|88|463|63.0|440.0|50|46
label::ball|frame0108.jpg|640|480|28|430|79|476|53.5|453.0|51|46
label::ball|frame0107.jpg|640|480|26|452|69|480|47.5|466.0|43|28
ball|frame0106.jpg|not_in_image
ball|frame0105.jpg|not_in_image
ball|frame0104.jpg|not_in_image
ball|frame0103.jpg|not_in_image
ball|frame0102.jpg|not_in_image
ball|frame0101.jpg|not_in_image
ball|frame0100.jpg|not_in_image
ball|frame0099.jpg|not_in_image
ball|frame0098.jpg|not_in_image
ball|frame0097.jpg|not_in_image
ball|frame0096.jpg|not_in_image
ball|frame0095.jpg|not_in_image
ball|frame0094.jpg|not_in_image
ball|frame0093.jpg|not_in_image
ball|frame0092.jpg|not_in_image
ball|frame0091.jpg|not_in_image
ball|frame0090.jpg|not_in_image
ball|frame0089.jpg|not_in_image
ball|frame0088.jpg|not_in_image
ball|frame0087.jpg|not_in_image
ball|frame0086.jpg|not_in_image
ball|frame0085.jpg|not_in_image
ball|frame0084.jpg|not_in_image
ball|frame0083.jpg|not_in_image
ball|frame0082.jpg|not_in_image
ball|frame0081.jpg|not_in_image
ball|frame0080.jpg|not_in_image
ball|frame0079.jpg|not_in_image
ball|frame0078.jpg|not_in_image
ball|frame0077.jpg|not_in_image
ball|frame0076.jpg|not_in_image
ball|frame0075.jpg|not_in_image
ball|frame0074.jpg|not_in_image
ball|frame0073.jpg|not_in_image
ball|frame0072.jpg|not_in_image
ball|frame0071.jpg|not_in_image
ball|frame0070.jpg|not_in_image
ball|frame0069.jpg|not_in_image
ball|frame0068.jpg|not_in_image
ball|frame0067.jpg|not_in_image
ball|frame0066.jpg|not_in_image
ball|frame0065.jpg|not_in_image
ball|frame0064.jpg|not_in_image
ball|frame0063.jpg|not_in_image
ball|frame0062.jpg|not_in_image
ball|frame0061.jpg|not_in_image
ball|frame0060.jpg|not_in_image
ball|frame0059.jpg|not_in_image
ball|frame0058.jpg|not_in_image
ball|frame0057.jpg|not_in_image
ball|frame0056.jpg|not_in_image
ball|frame0055.jpg|not_in_image
ball|frame0054.jpg|not_in_image
ball|frame0053.jpg|not_in_image
ball|frame0052.jpg|not_in_image
ball|frame0051.jpg|not_in_image
ball|frame0050.jpg|not_in_image
ball|frame0049.jpg|not_in_image
ball|frame0048.jpg|not_in_image
ball|frame0047.jpg|not_in_image
ball|frame0046.jpg|not_in_image
ball|frame0045.jpg|not_in_image
ball|frame0044.jpg|not_in_image
ball|frame0043.jpg|not_in_image
ball|frame0042.jpg|not_in_image
label::ball|frame0409.jpg|640|480|0|329|24|362|12.0|345.5|24|33
label::ball|frame0408.jpg|640|480|1|325|35|360|18.0|342.5|34|35
label::ball|frame0407.jpg|640|480|11|328|43|353|27.0|340.5|32|25
label::ball|frame0406.jpg|640|480|14|326|49|356|31.5|341.0|35|30
label::ball|frame0405.jpg|640|480|277|404|332|457|304.5|430.5|55|53
label::ball|frame0405.jpg|640|480|31|323|61|356|46.0|339.5|30|33
label::ball|frame0404.jpg|640|480|41|323|73|357|57.0|340.0|32|34
label::ball|frame0403.jpg|640|480|50|320|84|359|67.0|339.5|34|39
label::ball|frame0402.jpg|640|480|59|323|97|358|78.0|340.5|38|35
label::ball|frame0402.jpg|640|480|187|303|219|334|203.0|318.5|32|31
label::ball|frame0401.jpg|640|480|191|305|221|340|206.0|322.5|30|35
label::ball|frame0401.jpg|640|480|83|319|119|357|101.0|338.0|36|38
label::ball|frame0400.jpg|640|480|201|303|219|335|210.0|319.0|18|32
label::ball|frame0400.jpg|640|480|127|315|166|353|146.5|334.0|39|38
label::ball|frame0399.jpg|640|480|140|321|181|359|160.5|340.0|41|38
label::ball|frame0399.jpg|640|480|179|300|216|339|197.5|319.5|37|39
label::ball|frame0398.jpg|640|480|140|321|177|357|158.5|339.0|37|36
label::ball|frame0398.jpg|640|480|181|300|220|340|200.5|320.0|39|40
label::ball|frame0397.jpg|640|480|137|321|176|359|156.5|340.0|39|38
label::ball|frame0397.jpg|640|480|177|299|213|343|195.0|321.0|36|44
label::ball|frame0396.jpg|640|480|139|319|177|357|158.0|338.0|38|38
label::ball|frame0396.jpg|640|480|177|300|213|339|195.0|319.5|36|39
label::ball|frame0395.jpg|640|480|142|319|182|356|162.0|337.5|40|37
label::ball|frame0395.jpg|640|480|179|299|218|343|198.5|321.0|39|44
label::ball|frame0394.jpg|640|480|147|314|183|348|165.0|331.0|36|34
label::ball|frame0394.jpg|640|480|181|302|220|344|200.5|323.0|39|42
label::ball|frame0393.jpg|640|480|151|305|189|348|170.0|326.5|38|43
label::ball|frame0393.jpg|640|480|188|300|226|338|207.0|319.0|38|38
label::ball|frame0392.jpg|640|480|164|305|199|345|181.5|325.0|35|40
label::ball|frame0392.jpg|640|480|199|302|238|343|218.5|322.5|39|41
label::ball|frame0391.jpg|640|480|178|304|212|343|195.0|323.5|34|39
label::ball|frame0391.jpg|640|480|215|303|255|345|235.0|324.0|40|42
label::ball|frame0390.jpg|640|480|191|302|227|344|209.0|323.0|36|42
label::ball|frame0390.jpg|640|480|229|302|275|348|252.0|325.0|46|46
label::ball|frame0389.jpg|640|480|206|299|245|339|225.5|319.0|39|40
label::ball|frame0389.jpg|640|480|250|305|292|349|271.0|327.0|42|44
label::ball|frame0388.jpg|640|480|220|296|265|338|242.5|317.0|45|42
label::ball|frame0388.jpg|640|480|274|302|314|349|294.0|325.5|40|47
label::ball|frame0387.jpg|640|480|248|299|288|336|268.0|317.5|40|37
label::ball|frame0387.jpg|640|480|300|305|340|347|320.0|326.0|40|42
label::ball|frame0386.jpg|640|480|279|303|316|341|297.5|322.0|37|38
label::ball|frame0386.jpg|640|480|321|299|365|343|343.0|321.0|44|44
label::ball|frame0385.jpg|640|480|275|301|317|337|296.0|319.0|42|36
label::ball|frame0385.jpg|640|480|386|302|425|340|405.5|321.0|39|38
label::ball|frame0384.jpg|640|480|274|299|321|345|297.5|322.0|47|46
label::ball|frame0384.jpg|640|480|406|298|443|340|424.5|319.0|37|42
label::ball|frame0383.jpg|640|480|281|299|316|340|298.5|319.5|35|41
label::ball|frame0383.jpg|640|480|421|299|456|340|438.5|319.5|35|41
label::ball|frame0382.jpg|640|480|279|303|319|340|299.0|321.5|40|37
label::ball|frame0382.jpg|640|480|436|312|470|353|453.0|332.5|34|41
label::ball|frame0381.jpg|640|480|440|343|482|387|461.0|365.0|42|44
label::ball|frame0381.jpg|640|480|277|299|320|343|298.5|321.0|43|44
label::ball|frame0380.jpg|640|480|443|373|491|410|467.0|391.5|48|37
label::ball|frame0380.jpg|640|480|281|303|316|338|298.5|320.5|35|35
label::ball|frame0379.jpg|640|480|449|382|501|428|475.0|405.0|52|46
label::ball|frame0379.jpg|640|480|277|301|314|339|295.5|320.0|37|38
label::ball|frame0378.jpg|640|480|445|383|496|428|470.5|405.5|51|45
label::ball|frame0378.jpg|640|480|279|301|319|338|299.0|319.5|40|37
label::ball|frame0377.jpg|640|480|437|387|492|435|464.5|411.0|55|48
label::ball|frame0377.jpg|640|480|277|304|314|341|295.5|322.5|37|37
label::ball|frame0376.jpg|640|480|432|388|482|436|457.0|412.0|50|48
label::ball|frame0376.jpg|640|480|277|310|319|346|298.0|328.0|42|36
label::ball|frame0375.jpg|640|480|415|394|469|447|442.0|420.5|54|53
label::ball|frame0375.jpg|640|480|310|305|349|346|329.5|325.5|39|41
label::ball|frame0374.jpg|640|480|400|399|454|452|427.0|425.5|54|53
label::ball|frame0374.jpg|640|480|339|303|377|345|358.0|324.0|38|42
label::ball|frame0373.jpg|640|480|377|408|436|460|406.5|434.0|59|52
label::ball|frame0373.jpg|640|480|345|302|377|340|361.0|321.0|32|38
label::ball|frame0372.jpg|640|480|355|406|411|467|383.0|436.5|56|61
label::ball|frame0372.jpg|640|480|339|300|381|338|360.0|319.0|42|38
label::ball|frame0371.jpg|640|480|324|412|387|467|355.5|439.5|63|55
label::ball|frame0371.jpg|640|480|339|297|373|334|356.0|315.5|34|37
label::ball|frame0370.jpg|640|480|336|291|369|322|352.5|306.5|33|31
label::ball|frame0370.jpg|640|480|299|415|352|471|325.5|443.0|53|56
label::ball|frame0369.jpg|640|480|249|417|310|472|279.5|444.5|61|55
label::ball|frame0369.jpg|640|480|332|279|363|312|347.5|295.5|31|33
label::ball|frame0368.jpg|640|480|211|416|265|469|238.0|442.5|54|53
label::ball|frame0368.jpg|640|480|327|274|359|309|343.0|291.5|32|35
label::ball|frame0367.jpg|640|480|165|406|218|461|191.5|433.5|53|55
label::ball|frame0367.jpg|640|480|321|261|353|299|337.0|280.0|32|38
label::ball|frame0366.jpg|640|480|124|398|179|447|151.5|422.5|55|49
label::ball|frame0366.jpg|640|480|302|267|337|299|319.5|283.0|35|32
label::ball|frame0365.jpg|640|480|72|383|120|432|96.0|407.5|48|49
label::ball|frame0365.jpg|640|480|279|267|313|303|296.0|285.0|34|36
label::ball|frame0364.jpg|640|480|89|371|142|419|115.5|395.0|53|48
label::ball|frame0364.jpg|640|480|247|275|284|308|265.5|291.5|37|33
label::ball|frame0363.jpg|640|480|118|353|166|399|142.0|376.0|48|46
label::ball|frame0363.jpg|640|480|209|279|247|314|228.0|296.5|38|35
ball|frame0041.jpg|not_in_image
ball|frame0040.jpg|not_in_image
ball|frame0039.jpg|not_in_image
ball|frame0038.jpg|not_in_image
ball|frame0037.jpg|not_in_image
ball|frame0036.jpg|not_in_image
ball|frame0035.jpg|not_in_image
ball|frame0034.jpg|not_in_image
ball|frame0033.jpg|not_in_image
ball|frame0032.jpg|not_in_image
ball|frame0031.jpg|not_in_image
ball|frame0030.jpg|not_in_image
ball|frame0029.jpg|not_in_image
ball|frame0028.jpg|not_in_image
ball|frame0027.jpg|not_in_image
ball|frame0026.jpg|not_in_image
ball|frame0025.jpg|not_in_image
ball|frame0024.jpg|not_in_image
ball|frame0023.jpg|not_in_image
ball|frame0022.jpg|not_in_image
ball|frame0021.jpg|not_in_image
ball|frame0020.jpg|not_in_image
ball|frame0019.jpg|not_in_image
ball|frame0018.jpg|not_in_image
ball|frame0017.jpg|not_in_image
ball|frame0016.jpg|not_in_image
ball|frame0015.jpg|not_in_image
ball|frame0014.jpg|not_in_image
ball|frame0013.jpg|not_in_image
ball|frame0012.jpg|not_in_image
ball|frame0011.jpg|not_in_image
ball|frame0010.jpg|not_in_image
ball|frame0009.jpg|not_in_image
ball|frame0008.jpg|not_in_image
ball|frame0007.jpg|not_in_image
ball|frame0006.jpg|not_in_image
ball|frame0005.jpg|not_in_image
ball|frame0004.jpg|not_in_image
ball|frame0003.jpg|not_in_image
ball|frame0002.jpg|not_in_image
ball|frame0001.jpg|not_in_image
ball|frame0000.jpg|not_in_image
